"id" "long" "lat" "order" "hole" "piece" "group" "LAD13CD" "LAD13CDO" "LAD13NM" "LAD13NMW" "xcentroid" "ycentroid"
"57" "258" -2.3691407 53.57027352 57 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"58" "258" -2.36832247 53.56967883 58 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"59" "258" -2.36586778 53.56848945 59 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"60" "258" -2.36095841 53.56848945 60 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"61" "258" -2.35768549 53.56313722 61 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"62" "258" -2.35604903 53.56075845 62 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"63" "258" -2.35686726 53.557785 63 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"64" "258" -2.35604903 53.55659561 64 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"65" "258" -2.35686726 53.55600092 65 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"66" "258" -2.35686726 53.55421685 66 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"67" "258" -2.35850372 53.55302746 67 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"68" "258" -2.35932195 53.55302746 68 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"69" "258" -2.36095841 53.55362215 69 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"70" "258" -2.36177664 53.55540623 70 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"71" "258" -2.36259487 53.55600092 71 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"72" "258" -2.36423132 53.55540623 72 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"73" "258" -2.36668601 53.55362215 73 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"74" "258" -2.36832247 53.55302746 74 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"75" "258" -2.37159539 53.55421685 75 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"76" "258" -2.37323184 53.55362215 76 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"77" "258" -2.36750424 53.55183808 77 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"78" "258" -2.36259487 53.55124339 78 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"79" "258" -2.36259487 53.5506487 79 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"80" "258" -2.35604903 53.54945931 80 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"81" "258" -2.35113966 53.54767524 81 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
"82" "258" -2.34786674 53.54708054 82 FALSE "1" "258.1" "E08000001" "00BL" "Bolton" NA -2.46693550027208 53.5786155544458
