"id" "long" "lat" "order" "hole" "piece" "group" "key_new" "V1" "V2" "key_orig" "LAD13CD" "LAD13CDO" "LAD13NM" "LAD13NMW" "CENTROIX" "CENTROIY" "row" "col"
"33" "4" -2.17618633 53.52168285 33 FALSE "1" "4.1" "-2.17618633310942_53.5979532566439" -2.17618633310942 53.5979532566439 "-2.15779054_53.61657038" "E08000005" "00BQ" "Rochdale" NA -2.15779054 53.61657038 5 9
"34" "4" -2.24223844 53.55981805 34 FALSE "1" "4.1" "-2.17618633310942_53.5979532566439" -2.17618633310942 53.5979532566439 "-2.15779054_53.61657038" "E08000005" "00BQ" "Rochdale" NA -2.15779054 53.61657038 5 9
"35" "4" -2.24223844 53.63608846 35 FALSE "1" "4.1" "-2.17618633310942_53.5979532566439" -2.17618633310942 53.5979532566439 "-2.15779054_53.61657038" "E08000005" "00BQ" "Rochdale" NA -2.15779054 53.61657038 5 9
"36" "5" -2.30829055 53.52168285 36 FALSE "1" "5.1" "-2.24223844180259_53.4835476484403" -2.24223844180259 53.4835476484403 "-2.2325061_53.45157238" "E08000003" "00BN" "Manchester" NA -2.2325061 53.45157238 3 5
"37" "5" -2.24223844 53.55981805 37 FALSE "1" "5.1" "-2.24223844180259_53.4835476484403" -2.24223844180259 53.4835476484403 "-2.2325061_53.45157238" "E08000003" "00BN" "Manchester" NA -2.2325061 53.45157238 3 5
"38" "5" -2.17618633 53.52168285 38 FALSE "1" "5.1" "-2.24223844180259_53.4835476484403" -2.24223844180259 53.4835476484403 "-2.2325061_53.45157238" "E08000003" "00BN" "Manchester" NA -2.2325061 53.45157238 3 5
"39" "5" -2.17618633 53.44541245 39 FALSE "1" "5.1" "-2.24223844180259_53.4835476484403" -2.24223844180259 53.4835476484403 "-2.2325061_53.45157238" "E08000003" "00BN" "Manchester" NA -2.2325061 53.45157238 3 5
"40" "5" -2.24223844 53.40727724 40 FALSE "1" "5.1" "-2.24223844180259_53.4835476484403" -2.24223844180259 53.4835476484403 "-2.2325061_53.45157238" "E08000003" "00BN" "Manchester" NA -2.2325061 53.45157238 3 5
"41" "5" -2.30829055 53.44541245 41 FALSE "1" "5.1" "-2.24223844180259_53.4835476484403" -2.24223844180259 53.4835476484403 "-2.2325061_53.45157238" "E08000003" "00BN" "Manchester" NA -2.2325061 53.45157238 3 5
"42" "5" -2.30829055 53.52168285 42 FALSE "1" "5.1" "-2.24223844180259_53.4835476484403" -2.24223844180259 53.4835476484403 "-2.2325061_53.45157238" "E08000003" "00BN" "Manchester" NA -2.2325061 53.45157238 3 5
"43" "6" -2.37434266 53.40727724 43 FALSE "1" "6.1" "-2.30829055049577_53.3691420402367" -2.30829055049577 53.3691420402367 "-2.35531724_53.41900376" "E08000009" "00BU" "Trafford" NA -2.35531724 53.41900376 9 1
"44" "6" -2.30829055 53.44541245 44 FALSE "1" "6.1" "-2.30829055049577_53.3691420402367" -2.30829055049577 53.3691420402367 "-2.35531724_53.41900376" "E08000009" "00BU" "Trafford" NA -2.35531724 53.41900376 9 1
"45" "6" -2.24223844 53.40727724 45 FALSE "1" "6.1" "-2.30829055049577_53.3691420402367" -2.30829055049577 53.3691420402367 "-2.35531724_53.41900376" "E08000009" "00BU" "Trafford" NA -2.35531724 53.41900376 9 1
"46" "6" -2.24223844 53.33100684 46 FALSE "1" "6.1" "-2.30829055049577_53.3691420402367" -2.30829055049577 53.3691420402367 "-2.35531724_53.41900376" "E08000009" "00BU" "Trafford" NA -2.35531724 53.41900376 9 1
"47" "6" -2.30829055 53.29287163 47 FALSE "1" "6.1" "-2.30829055049577_53.3691420402367" -2.30829055049577 53.3691420402367 "-2.35531724_53.41900376" "E08000009" "00BU" "Trafford" NA -2.35531724 53.41900376 9 1
"48" "6" -2.37434266 53.33100684 48 FALSE "1" "6.1" "-2.30829055049577_53.3691420402367" -2.30829055049577 53.3691420402367 "-2.35531724_53.41900376" "E08000009" "00BU" "Trafford" NA -2.35531724 53.41900376 9 1
"49" "6" -2.37434266 53.40727724 49 FALSE "1" "6.1" "-2.30829055049577_53.3691420402367" -2.30829055049577 53.3691420402367 "-2.35531724_53.41900376" "E08000009" "00BU" "Trafford" NA -2.35531724 53.41900376 9 1
